"ID", "Unique identifier for the record.",,,,,"Crime Metadata",
"Case Number", "The Chicago Police Department RD Number (Records Division Number), which is unique to the incident.",,,,,"Crime Metadata",
"Date", "Date when the incident occurred. this is sometimes a best estimate.",,,,,"Calendar Data",
"Block", "The partially redacted address where the incident occurred, placing it on the same block as the actual address.",,,,,"Location Data",
"IUCR", "The Illinois Unifrom Crime Reporting code. This is directly linked to the Primary Type and Description. See the list of IUCR codes at https://data.cityofchicago.org/d/c7ck-438e.",,,,,"IUCR Data",
"Primary Type", "The primary description of the IUCR code.",,,,"IUCR","IUCR Data",
"Description", "The secondary description of the IUCR code, a subcategory of the primary description.",,,,"IUCR","IUCR Data",
"Location Description", "Description of the location where the incident occurred.",,,,,"Location Data",
"Arrest", "Indicates whether an arrest was made.",,,,,"Crime Metadata",
"Domestic", "Indicates whether the incident was domestic-related as defined by the Illinois Domestic Violence Act.",,,,,"Crime Metadata",
"Beat", "Indicates the beat where the incident occurred. A beat is the smallest police geographic area â€“ each beat has a dedicated police beat car. Three to five beats make up a police sector, and three sectors make up a police district. The Chicago Police Department has 22 police districts. See the beats at https://data.cityofchicago.org/d/aerh-rz74.",,,,,"Location Data",
"District", "Indicates the police district where the incident occurred. See the districts at https://data.cityofchicago.org/d/fthy-xz3r.",,,,"Beat","Location Data",
"Ward", "The ward (City Council district) where the incident occurred. See the wards at https://data.cityofchicago.org/d/sp34-6z76.",,,,"Beat, District","Location Data",
"Community Area", "Indicates the community area where the incident occurred. Chicago has 77 community areas. See the community areas at https://data.cityofchicago.org/d/cauq-8yn6.",,,,"Beat, District, Ward","Location Data",
"FBI Code", "Indicates the crime classification as outlined in the FBI's National Incident-Based Reporting System (NIBRS). See the Chicago Police Department listing of these classifications at http://gis.chicagopolice.org/clearmap_crime_sums/crime_types.",,,,,"FBI Data",
"X Coordinate", "The x coordinate of the location where the incident occurred in State Plane Illinois East NAD 1983 projection. This location is shifted from the actual location for partial redaction but falls on the same block.",,,,,"Location Data",
"Y Coordinate", "The y coordinate of the location where the incident occurred in State Plane Illinois East NAD 1983 projection. This location is shifted from the actual location for partial redaction but falls on the same block.",,,,"X Coordinate","Location Data",
"Year", "Year the incident occurred.",,,,,"Calendar Data",
"Updated On", "Date and time the record was last updated.",,,,,"Crime Metadata",
"Latitude", "The latitude of the location where the incident occurred. This location is shifted from the actual location for partial redaction but falls on the same block.",,,,,"Location Data",
"Longitude", "The longitude of the location where the incident occurred. This location is shifted from the actual location for partial redaction but falls on the same block.",,,,"Latitude","Location Data",
"Location", "The location where the incident occurred in a format that allows for creation of maps and other geographic operations on this data portal. This location is shifted from the actual location for partial redaction but falls on the same block.",,,,,"Location Data",
